Metric,outputs (Full),outputs_train (Subset),Delta,% Difference
Ensemble ROC-AUC,0.8867,0.8882,-0.0014999999999999458,-0.17
XGBoost ROC-AUC,0.8856,0.8868,-0.0011999999999999789,-0.14
ANN ROC-AUC,0.883,0.8856,-0.0026000000000000467,-0.29
Accuracy,0.8481,0.8595,-0.011400000000000077,-1.33
Precision (Churned),0.6282,0.6742,-0.04600000000000004,-6.82
Recall (Churned),0.6916,0.6498,0.04179999999999995,6.43
F1-Score (Churned),0.6584,0.6618,-0.0034000000000000696,-0.51
Precision-Recall AP,0.7223,0.728,-0.005699999999999927,-0.78
Total Samples,33007.0,33007.0,0.0,0.0
True Negatives,23164.0,23830.0,-666.0,-2.79
False Positives,2859.0,2193.0,666.0,30.37
False Negatives,2154.0,2446.0,-292.0,-11.94
True Positives,4830.0,4538.0,292.0,6.43
